Row_number,Study_ID,First_author,Continent,Location,Latitude,Longitude,HR_mean,log_HR_mean,HFI_year,Built_areas,Cropland,HFI,Lights,NDVI_mean,NDVI_seas,Nav_waterways,Pasture,Human_popn,Railways,Roads,Temp_mean,Temp_seas,Precip_mean,Precip_seas
1,1,Ables,North America,"Wisconsin, USA",43.041,-89.431,1.41,0.343589704,1993,9.713375796,0.133757962,34.29581501,9.554140127,4161.005566,2142.950073,0,0,8.222929936,3.159235669,3.512375675,7.859658344,1093.090014,830.8,38.76316369
2,2,Adkins,North America,"Mississaugua, Canada ",43.551,-79.622,0.52,-0.653926467,1993,10,0,40.50285816,10,3391.072922,1591.250992,0.597821125,0,9.910714286,2.428571429,7.565751,8.375583334,948.3139813,813.65,13.78430274
3,3,Arnold ,Europe,"Bristol, UK",51.455,-2.588,0.2605,-1.345152418,1993,9.936305732,0.044585987,40.25247254,9.678343949,5377.587964,456.0996759,0.00088013,0,9.076433121,3.592356688,7.923566879,10.1973258,450.1315997,869.7727273,19.47832808
4,4,Aubry,North America,"Washington, USA",46.88,-121.727,1.468,0.38390093,1993,0,0,1.340511122,0.006410256,1733.277749,1151.106948,0,0,1,0,0.334100859,1.743666657,595.8424974,2437.826087,59.70455302
5,7,Bengsen,Australia,"NSW, Australia ",-32.243,148.605,1.06,0.058268908,2009,2.056962025,3.5,17.29219039,2.791139241,4647.666626,848.2845586,0,0,3,2.303797468,3.640291706,17.16956864,590.1121605,628.5882353,17.98384082
6,9,Boitani,Europe,"Gran Paradiso NP, Italy",45.533,7.267,1.95,0.667829373,1993,0.157728707,0,3.969100696,0.32807571,1330.851182,1111.913494,2.39E-07,0,1.880126183,0,1.603169849,-1.578308331,574.110991,1156.65,16.62210806
7,12,Carter,Australia,"Victoria, Australia",-35.95,144.6,11.77,2.465553921,2009,0,6.466666667,11.22899264,0,4184.506938,1356.515788,0,0.00952381,1.06984127,0.66031746,3.022643432,15.90769448,539.8573645,420.3888889,16.98353857
8,14,Cavallini,Asia,"Kyushu, Japan",32.852,131.081,4.94,1.597365331,1993,0.512820513,0.426282051,16.0411073,1.916666667,6207.72025,1370.956098,0,0,5.641025641,1.948717949,5.595594485,12.01879411,815.956912,2633.117647,66.52681188
9,101,Cavallini,Europe,"Pisa, Italy",43.709,10.404,4.26,1.44926916,1993,7.891373802,0.89456869,33.59403151,8.450479233,5738.750033,451.2570414,0.962569219,0.083067093,8.198083067,2.760383387,4.353506706,14.50500001,640.3480066,917,40.66470871
10,1000,Cavallini,Europe,"Maremma NP, Italy ",42.65,11.083,2.422,0.884593645,1993,0,0.133971292,12.6375433,0.674641148,4692.416699,747.9655914,0.364499005,2.076555024,6.172248804,1.339712919,1.875915102,15.05400444,617.4899346,598,40.53052305
11,13,Coman,Australia,"Victoria, Australia",-37.129,144.415,5.7,1.740466175,1993,0,3.076433121,10.70494818,0,5677.256877,1196.780556,0,0.640127389,2.328025478,0.815286624,3.845075566,12.74840001,465.9496056,747.75,28.43004493
12,13,Coman,Australia,"Victoria, Australia",-36.757,144.279,0.9,-0.105360516,1993,3.037974684,1.174050633,20.82752015,4.10443038,4924.666678,792.7544185,0,0,6.205696203,1.974683544,4.330684718,14.04882353,474.7345061,590.8235294,26.66453378
13,17,Drygala,Europe,Germany ,53.917,11.933,2.944,1.079769201,2009,0,5.25,12.15536663,0.892405063,5789.401062,1129.303787,2.01E-06,0,5.46835443,0.329113924,0.215491212,8.421902787,644.7042492,600.5416667,20.53233668
14,19,Fabrigoule,Europe,"Chize Forest, France",46.128,-0.387,6.54,1.877937165,1993,0,6.355555556,14.21701188,0.06984127,5535.993577,919.2888794,0,0,4.120634921,0.838095238,2.832884886,12.24551588,549.8354238,857.9047619,25.34852137
15,102,Gosselink,North America,"Illinois, USA",42.108,-90.137,4.64,1.534714366,1993,0.53968254,1.511111111,12.94290847,1.438095238,4870.855518,2746.70931,0.720492639,0,3.320634921,2.082539683,3.330352307,8.714075015,1086.177474,917.7,36.83017678
16,102,Gosselink,North America,"Illinois, USA",42.108,-90.137,9.54,2.255493485,1993,0.53968254,1.511111111,12.94290847,1.438095238,4870.855518,2746.70931,0.720492639,0,3.320634921,2.082539683,3.330352307,8.714075015,1086.177474,917.7,36.83017678
17,103,Harris,Europe,"Bristol, UK",51.455,-2.588,0.45,-0.798507696,1993,9.936305732,0.044585987,40.25247254,9.678343949,5377.587964,456.0996759,0.00088013,0,9.076433121,3.592356688,7.923566879,10.1973258,450.1315997,869.7727273,19.47832808
18,23,Harrison,North America,"Maine, USA",45.368,-68.972,14.7,2.687847494,1993,0,0,7.029749118,0.141509434,6007.023821,2198.291103,0,0,1.877358491,3.270440252,1.740440931,5.275833342,1053.867869,1070.238095,12.54005209
19,22,Henry,Europe,"Ardennes, France",49,4.5,1.21,0.19062036,2009,0.705128205,6.394230769,19.18673952,2.634615385,5022.854175,1047.310669,0.033106175,0,4.778846154,0.564102564,4.076710268,10.27791666,587.6119518,674.9,11.72569481
20,25,Hofer,Europe,"Oxfordshire, UK",51.774,-1.323,1.44,0.364643114,1993,7.188498403,0.961661342,33.35782748,8.354632588,6108.455599,769.5668498,0,0,7.779552716,1.686900958,7.38658147,9.886430545,466.3007014,644.3333333,13.24512649
21,26,Janko,Europe,"Starnberg, Germany ",48,11.167,0.766,-0.266573109,2009,0.349206349,0.288888889,16.62282008,4.644444444,5858.239655,1961.21386,0,0.158730159,7.457142857,1.549206349,2.175201058,8.213783335,662.9584336,1021.45,34.46281768
22,104,Jones,North America,"British Columbia, Canada",59.83,-136.33,16.11,2.779440197,1993,0,0,0.067060053,0,267.4444414,909.142078,0,0,0,0,0.067060053,-2.682238098,832.0517146,752.2857143,37.27878446
23,105,Kauhala,Europe,"Virolahti, Finland",60.533,27.683,11,2.397895273,2009,0.27027027,0,10.36829162,2.232432432,4656.954568,2156.23716,1.103399696,0,3,0,3.762189253,4.386349913,897.293422,687.3333333,30.57050288
24,30,Kolb,Europe,"Edinburgh, Scotland",55.953,-3.188,1.15,0.139761942,1993,10,0,40.4557829,9.964467005,4290.24361,1021.229201,0.349248048,0,9.756345178,2.720812183,7.664910254,8.636019236,414.2517348,680.5625,14.23869381
25,106,Lewis,North America,"California, USA",33.75,-117.86,4.25,1.446918983,1993,10,0,37.14443855,9.996845426,3082.993042,120.8368359,0.002108359,0,9.90851735,2.902208202,4.334759253,18.07564814,357.7875226,347.0555556,99.32202618
26,31,Lovari,Europe,"Maremma NP, Italy ",42.65,11.083,3.33,1.202972304,1993,0,0.133971292,12.6375433,0.674641148,4692.416699,747.9655914,0.364499005,2.076555024,6.172248804,1.339712919,1.875915102,15.05400444,617.4899346,598,40.53052305
27,32,Lucherini,Europe,"Maremma NP, Italy ",42.65,11.083,1.38,0.322083499,1993,0,0.133971292,12.6375433,0.674641148,4692.416699,747.9655914,0.364499005,2.076555024,6.172248804,1.339712919,1.875915102,15.05400444,617.4899346,598,40.53052305
28,33,Macdonald ,Middle East,"Thumamah, Saudi Arabia ",25.5,46.5,8.52,2.142416341,1993,0,0,3.789488785,0,1146.805552,82.30101808,0,0,3,0,0.789488787,25.32511459,863.0754499,146.5,101.0376741
29,107,Major,North America,"Maine, USA",45.25,-70.25,19.9,2.990719732,1993,0,0,0.197187844,0,5862.645793,2127.48702,5.74E-05,0,0,0,0.197130459,4.031016681,1066.094905,1007.3,14.71913169
30,34,Marks,Australia,"Melbourne, Australia",-37.808,144.958,0.296,-1.217395825,2009,10,0,38.10224543,9.992779783,3630.96523,296.5890325,0.399445346,0,10,3.176895307,4.533124851,15.05247414,373.7132903,657,14.13851037
31,35,Marlow,Australia,"NSW, Australia ",-31.083,141.717,5.13,1.635105659,1993,0,0,3.654288052,0,1640.856035,161.4807809,0,1.731012658,0,0,1.923275396,19.25437959,619.8219225,256.5,26.88125911
32,108,Maurel,Europe,"Chize Forest, France",46.128,-0.387,4.49,1.501852702,1993,0,6.355555556,14.21701188,0.06984127,5535.993577,919.2888794,0,0,4.120634921,0.838095238,2.832884886,12.24551588,549.8354238,857.9047619,25.34852137
33,37,Meek,Australia,"NSW, Australia ",-35.138,150.705,1.35,0.300104592,1993,0,0,8.306753094,0.525423729,6118.166748,532.464756,1.463977017,0,3,0,3.317352386,16.74582419,334.901559,1198.5,23.16185719
34,38,Meia,Europe,"Jura Mountains, Switzerland",47.15,6.933,1.039,0.038258712,1993,1.150159744,2.92971246,17.24329861,2.539936102,5811.838531,2697.449478,8.44E-05,0.150159744,6.297124601,2.402555911,1.773565655,6.382095262,608.3967594,1282.47619,9.189666271
35,39,Meisner,Europe,"Tøndermarsken, Denmark",54.933,8.683,2.785,1.024247873,2009,0.049019608,3.431372549,10.04998429,0.598039216,5373.500033,1211.602289,0.071661689,0.014705882,5.083333333,0.549019608,0.252832369,8.523996441,577.9748095,808.5294118,29.15475706
