"","CatSpeSpeciesRef","BandNumber","Date","Sex","Age","CatSampleID","LocRegionRef","LocLon","LocLat","AIV","AIVAb","CatAgeAgeRef","SpeOrder","lat","lon","Year","Month","Year2","Season","Ecotype","group","Species","Order"
"1"," Australasian shoveler","10135269",2014-03-20,"M","A","5936","Innamincka Regional Reserve",140.178,-27.014,0,0,"1+","Anseriformes",-27.01,140.18,2014,3,"2013","W","Arid",NA," Australasian shoveler","Anseriformes"
"2","Australasian grebe","09160022",2012-11-05,NA,"A","2683","Innamincka Regional Reserve",140.28,-26.95,0,0,"1+","Podicipediformes",-26.95,140.28,2012,11,"2012","S","Arid",NA,"Australasian grebe","Podicipediformes"
"3","Australasian grebe",NA,2011-11-10,"F",NA,"1369","Innamincka Regional Reserve",140.28,-26.95,0,0,"U","Podicipediformes",-26.95,140.28,2011,11,"2011","S","Arid",NA,"Australasian grebe","Podicipediformes"
"4","Australasian grebe","09160173",2012-11-11,NA,NA,"2929","Innamincka Regional Reserve",140.28,-26.95,NA,0,"U","Podicipediformes",-26.95,140.28,2012,11,"2012","S","Arid",NA,"Australasian grebe","Podicipediformes"
"5","Australasian grebe","09160101",2012-11-07,NA,"A","2798","Innamincka Regional Reserve",140.28,-26.95,0,0,"1+","Podicipediformes",-26.95,140.28,2012,11,"2012","S","Arid",NA,"Australasian grebe","Podicipediformes"
"6","Australasian grebe","09160152",2012-11-11,NA,"A","2901","Innamincka Regional Reserve",140.28,-26.95,0,0,"1+","Podicipediformes",-26.95,140.28,2012,11,"2012","S","Arid",NA,"Australasian grebe","Podicipediformes"
"7","Australasian grebe",NA,2011-11-10,"F",NA,"1367","Innamincka Regional Reserve",140.28,-26.95,0,NA,"U","Podicipediformes",-26.95,140.28,2011,11,"2011","S","Arid",NA,"Australasian grebe","Podicipediformes"
"8","Australasian grebe","09160140",2012-11-10,NA,"A","2860","Innamincka Regional Reserve",140.28,-26.95,0,0,"1+","Podicipediformes",-26.95,140.28,2012,11,"2012","S","Arid",NA,"Australasian grebe","Podicipediformes"
"9","Australian magpie",NA,2013-11-10,"F",NA,"5601","Young",148.4815,-34.1459,0,0,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"10","Australian magpie",NA,2013-11-10,"F",NA,"5607","Young",148.4815,-34.1459,0,0,"U","Passeriformes",-34.15,148.48,2013,11,"2013","S","Temp",NA,"Australian magpie","Passeriformes"
"11","Australian magpie",NA,2018-06-06,"F",NA,"13103","Geelong",144.52,-38.23,0,0,"U","Passeriformes",-38.23,144.52,2018,6,"2017","W","Temp",NA,"Australian magpie","Passeriformes"
