Species,Shortcode,Film,Filmcode,Logmass,LogTarsus,Distance,GroupSize,AvTemp,AvWind,OL_pc,OL_success ,OL_fail
Himantopus_himantopus,HH,1,HH1,2.223194,2.04521626,20,4,15.46,3.74,100,19,0
Himantopus_himantopus,HH,2,HH2,2.223194,2.04521626,70,7,15.58,1.68,100,11,0
Himantopus_himantopus,HH,2,HH2,2.223194,2.04521626,70,7,15.58,1.68,31.29140637,4,8
Himantopus_himantopus,HH,3,HH3,2.223194,2.04521626,40,23,20.6,5.08,0,0,19
Himantopus_himantopus,HH,3,HH3,2.223194,2.04521626,40,23,20.6,5.08,100,19,0
Himantopus_himantopus,HH,4,HH4,2.223194,2.04521626,25,13.66666667,18.65,1.35,100,16,0
Himantopus_himantopus,HH,4,HH4,2.223194,2.04521626,25,13.66666667,18.65,1.35,100,16,0
Himantopus_himantopus,HH,5,HH5,2.223194,2.04521626,69,25.2,16.12,3.1,1.024303375,0,22
Himantopus_himantopus,HH,5,HH5,2.223194,2.04521626,69,25.2,16.12,3.1,96.75573718,22,1
Himantopus_himantopus,HH,6,HH6,2.223194,2.04521626,80,24,17,1.55,100,9,0
Himantopus_himantopus,HH,6,HH6,2.223194,2.04521626,80,24,17,1.55,100,9,0
Himantopus_himantopus,HH,7,HH7,2.223194,2.04521626,153,24.8,14.32,2.64,100,23,0
Himantopus_himantopus,HH,7,HH7,2.223194,2.04521626,153,24.8,14.32,2.64,100,21,0
Himantopus_himantopus,HH,7,HH7,2.223194,2.04521626,153,24.8,14.32,2.64,100,21,0
Himantopus_himantopus,HH,8,HH8,2.223194,2.04521626,149,59.2,14.6,4.24,100,22,0
Himantopus_himantopus,HH,8,HH8,2.223194,2.04521626,149,59.2,14.6,4.24,100,21,0
Himantopus_himantopus,HH,9,HH9,2.223194,2.04521626,115,22,16.1,3,92.41051882,12,1
Himantopus_himantopus,HH,9,HH9,2.223194,2.04521626,115,22,16.1,3,92.41089955,12,1
Himantopus_himantopus,HH,10,HH10,2.223194,2.04521626,50,38.4,21.66,2,12.61496143,2,11
Himantopus_himantopus,HH,10,HH10,2.223194,2.04521626,50,38.4,21.66,2,70.37692599,9,4
Himantopus_himantopus,HH,11,HH11,2.223194,2.04521626,41,70,29.12,1.3,79.67487781,16,4
Himantopus_himantopus,HH,11,HH11,2.223194,2.04521626,41,70,29.12,1.3,0,0,21
Himantopus_himantopus,HH,12,HH12,2.223194,2.04521626,41,70,29.2,1.28,99.99806004,21,0
Himantopus_himantopus,HH,12,HH12,2.223194,2.04521626,41,70,29.2,1.28,1.793495789,0,20
Himantopus_himantopus,HH,13,HH13,2.223194,2.04521626,146,23.8,22.64,1.72,52.50780036,11,10
Himantopus_himantopus,HH,13,HH13,2.223194,2.04521626,146,23.8,22.64,1.72,0,0,21
Himantopus_himantopus,HH,14,HH14,2.223194,2.04521626,140,15.2,23.1,2.26,0,0,22
Himantopus_himantopus,HH,14,HH14,2.223194,2.04521626,140,15.2,23.1,2.26,0,0,22
Himantopus_himantopus,HH,15,HH15,2.223194,2.04521626,69,12,21.34,2,0,0,22
Himantopus_himantopus,HH,15,HH15,2.223194,2.04521626,69,12,21.34,2,5.436894096,1,21
Himantopus_himantopus,HH,16,HH16,2.223194,2.04521626,25,15,27.925,0.9,0.840908747,0,20
Himantopus_himantopus,HH,16,HH16,2.223194,2.04521626,25,15,27.925,0.9,50.63875751,10,10
Himantopus_himantopus,HH,17,HH17,2.223194,2.04521626,57,100,31.52,3.7,0,0,22
Himantopus_himantopus,HH,17,HH17,2.223194,2.04521626,57,100,31.52,3.7,0,0,22
Himantopus_himantopus,HH,18,HH18,2.223194,2.04521626,100,100,34.72,1.4,100,11,0
Himantopus_himantopus,HH,19,HH19,2.223194,2.04521626,60,19,33.96,2.14,100,21,0
Himantopus_himantopus,HH,19,HH19,2.223194,2.04521626,60,19,33.96,2.14,100,21,0
Himantopus_himantopus,HH,20,HH20,2.223194,2.04521626,96,20.8,34,1.1,68.0063423,14,7
Himantopus_himantopus,HH,20,HH20,2.223194,2.04521626,96,20.8,34,1.1,64.47113151,13,7
Himantopus_himantopus,HH,21,HH21,2.223194,2.04521626,96,65,37.44,1.62,99.99952354,21,0
Himantopus_himantopus,HH,21,HH21,2.223194,2.04521626,96,65,37.44,1.62,77.46966741,16,5
Himantopus_himantopus,HH,22,HH22,2.223194,2.04521626,120,42,38.3,1.1,0,0,17
Himantopus_himantopus,HH,22,HH22,2.223194,2.04521626,120,42,38.3,1.1,3.04598161,1,16
Himantopus_himantopus,HH,23,HH23,2.223194,2.04521626,35,4,36.7,1.766666667,0,0,13
Himantopus_himantopus,HH,23,HH23,2.223194,2.04521626,35,4,36.7,1.766666667,0,0,13
Himantopus_himantopus,HH,24,HH24,2.223194,2.04521626,37,100,39.13333333,1.266666667,0,0,11
Himantopus_himantopus,HH,24,HH24,2.223194,2.04521626,37,100,39.13333333,1.266666667,0,0,11
Himantopus_himantopus,HH,25,HH25,2.223194,2.04521626,92,3.6,32.2,2.58,95.69279807,18,1
Himantopus_himantopus,HH,26,HH26,2.223194,2.04521626,118,10,26.5,0.7,100,2,0
Himantopus_himantopus,HH,26,HH26,2.223194,2.04521626,118,10,26.5,0.7,100,22,0
Himantopus_himantopus,HH,26,HH26,2.223194,2.04521626,118,10,26.5,0.7,100,10,0
Himantopus_himantopus,HH,27,HH27,2.223194,2.04521626,75,41.25,26.65,1.35,0,0,13
